,Date,Open,High,Low,Close,Adj Close,Volume,SMA50,SMA200,Prev. Day Close,Change in Price,Percent change in Price,Previous Day Volume,Change in Volume,Percentage change in Volume
0,2012-05-18,42.0499992370606,45,38,38.2299995422363,38.2299995422363,573576400,,,,,,,,
1,2012-05-21,36.5299987792969,36.6599998474121,33,34.0299987792969,34.0299987792969,168192700,,,38.2299995422363,-4.20000076293945,-0.109861386691865,573576400,-405383700,-0.706764957554042
2,2012-05-22,32.6100006103516,33.5900001525879,30.9400005340576,31,31,101786600,,,34.0299987792969,-3.02999877929688,-0.0890390504844879,168192700,-66406100,-0.394821535060677
3,2012-05-23,31.3700008392334,32.5,31.3600006103516,32,32,73600000,,,31,1,0.032258064516129,101786600,-28186600,-0.276918572778735
4,2012-05-24,32.9500007629395,33.2099990844727,31.7700004577637,33.0299987792969,33.0299987792969,50237200,,,32,1.02999877929688,0.0321874618530273,73600000,-23362800,-0.317429347826087
5,2012-05-25,32.9000015258789,32.9500007629395,31.1100006103516,31.9099998474121,31.9099998474121,37149800,,,33.0299987792969,-1.11999893188477,-0.0339085368839547,50237200,-13087400,-0.26051213045313
6,2012-05-29,31.4799995422363,31.6900005340576,28.6499996185303,28.8400001525879,28.8400001525879,78063400,,,31.9099998474121,-3.06999969482422,-0.0962080761361456,37149800,40913600,1.10131413897248
7,2012-05-30,28.7000007629395,29.5499992370605,27.8600006103516,28.1900005340576,28.1900005340576,57267900,,,28.8400001525879,-0.649999618530273,-0.0225381281238289,78063400,-20795500,-0.266392445115124
8,2012-05-31,28.5499992370605,29.6700000762939,26.8299999237061,29.6000003814697,29.6000003814697,111639200,,,28.1900005340576,1.40999984741211,0.0500177304256744,57267900,54371300,0.949420181288296
9,2012-06-01,28.8899993896484,29.1499996185303,27.3899993896484,27.7199993133545,27.7199993133545,41855500,,,29.6000003814697,-1.88000106811524,-0.0635135487799575,111639200,-69783700,-0.625082408329691
10,2012-06-04,27.2000007629395,27.6499996185303,26.4400005340576,26.8999996185303,26.8999996185303,35230300,,,27.7199993133545,-0.819999694824212,-0.0295815193050588,41855500,-6625200,-0.158287441315956
11,2012-06-05,26.7000007629395,27.7600002288818,25.75,25.8700008392334,25.8700008392334,42473400,,,26.8999996185303,-1.02999877929688,-0.0382899179889711,35230300,7243100,0.205592912918709
12,2012-06-06,26.0699996948242,27.1700000762939,25.5200004577637,26.8099994659424,26.8099994659424,61489200,,,25.8700008392334,0.939998626708984,0.0363354695096654,42473400,19015800,0.447710802525816
